"SalePrice","LotArea","LivArea","BsmtArea","GarageCars","Bedroom","Kitchen","OverallQual","ExterQual","KitchenQual","Neighborhood","ZoneClass","BldgType","LandContour","Fireplace","CentralAir","MoSold","YrSold","TotalBath"
105000,1076,86,86,1,2,1,5,"TA","TA","NAmes","RH","1Fam","Lvl",0,1,6,2010,1
172000,1324,118,118,1,3,1,6,"TA","Gd","NAmes","RL","1Fam","Lvl",0,1,6,2010,2
189900,1281,151,86,2,3,1,5,"TA","TA","Gilbert","RL","1Fam","Lvl",1,1,3,2010,3
195500,926,151,86,2,3,1,6,"TA","Gd","Gilbert","RL","1Fam","Lvl",1,1,6,2010,3
191500,463,118,118,2,2,1,8,"Gd","Gd","StoneBr","RL","TwnhsE","HLS",0,1,1,2010,2
175900,926,151,75,2,3,1,6,"TA","TA","Gilbert","RL","1Fam","Lvl",1,1,4,2010,3
185000,743,108,108,2,3,1,6,"TA","TA","Gilbert","RL","1Fam","Lvl",0,1,3,2010,2
180400,786,140,75,2,3,1,6,"TA","TA","Gilbert","RL","1Fam","Lvl",1,1,5,2010,3
171500,947,129,118,2,2,1,7,"TA","Gd","Gilbert","RL","1Fam","Lvl",1,1,2,2010,2
126000,775,86,86,2,2,1,4,"TA","TA","NAmes","RL","1Fam","Lvl",0,1,4,2010,1
184000,549,129,129,2,2,1,7,"Gd","Gd","NAmes","RH","TwnhsE","Lvl",1,1,6,2010,2
96000,151,97,43,1,2,1,6,"TA","TA","BrDale","RM","Twnhs","Lvl",0,1,2,2010,2
105500,151,97,54,1,3,1,5,"TA","TA","BrDale","RM","Twnhs","Lvl",0,1,3,2010,2
149900,215,140,75,2,3,1,6,"TA","Gd","NPkVill","RL","Twnhs","Lvl",1,1,6,2010,3
120000,215,75,75,1,2,1,7,"TA","TA","NPkVill","RL","Twnhs","Lvl",0,1,6,2010,1
376162,1195,215,151,3,3,1,9,"Ex","Ex","NridgHt","RL","1Fam","Lvl",1,1,1,2010,3
290941,1195,140,140,3,3,1,8,"Gd","Gd","NridgHt","RL","1Fam","Lvl",0,1,6,2010,2
275000,1066,161,161,3,3,1,9,"Gd","Ex","NridgHt","RL","1Fam","Lvl",1,1,6,2010,2
259000,1313,172,172,3,3,1,8,"Gd","Ex","NridgHt","RL","1Fam","Lvl",1,1,2,2010,2
5e+05,1324,248,226,3,3,1,9,"Ex","Ex","NridgHt","RL","1Fam","HLS",1,1,6,2010,3
320000,1270,205,151,3,3,1,8,"Gd","Gd","NridgHt","RL","1Fam","Lvl",1,1,6,2010,3
205000,667,129,129,2,2,1,8,"Gd","Gd","NridgHt","RL","TwnhsE","Lvl",1,1,4,2010,2
199500,1722,118,118,2,3,1,6,"Gd","Gd","Gilbert","RL","1Fam","Lvl",0,1,1,2010,2
160000,301,108,108,2,2,1,7,"Gd","Gd","Blmngtn","RL","TwnhsE","Lvl",0,1,1,2010,2
184500,1238,129,32,2,3,1,7,"Gd","Gd","Gilbert","RL","1Fam","Lvl",1,1,6,2010,3
185088,797,161,118,2,3,1,7,"Gd","Gd","Gilbert","RL","1Fam","Lvl",1,1,4,2010,3
355000,1625,226,161,3,4,1,8,"Gd","Gd","NoRidge","RL","1Fam","Lvl",1,1,1,2010,3
221500,840,151,151,2,2,1,8,"Gd","Gd","Somerst","RL","1Fam","Lvl",1,1,5,2010,2
204500,861,108,108,2,2,1,7,"Gd","Gd","Somerst","FV","1Fam","Lvl",0,1,4,2010,2
271500,969,140,140,2,2,1,6,"Gd","Gd","Somerst","FV","1Fam","Lvl",1,1,5,2010,2
181000,1109,151,75,2,3,1,7,"Gd","Gd","SawyerW","RL","1Fam","Lvl",0,1,4,2010,3
67500,915,97,75,1,2,1,5,"TA","TA","SawyerW","RH","1Fam","Lvl",0,0,4,2010,1
169000,1432,140,108,2,3,1,6,"TA","TA","Sawyer","RL","1Fam","Lvl",1,1,4,2010,2
362500,1216,215,118,3,4,1,8,"Gd","Gd","NoRidge","RL","1Fam","Lvl",1,1,6,2010,3
285000,1033,205,129,3,4,1,8,"Gd","Gd","NoRidge","RL","1Fam","Lvl",1,1,6,2010,3
260000,452,140,140,2,2,1,7,"Gd","Gd","Somerst","FV","TwnhsE","Lvl",1,1,3,2010,2
190000,323,151,75,2,2,1,7,"Gd","Gd","Somerst","FV","TwnhsE","Lvl",0,1,1,2010,3
155000,301,108,54,2,2,1,7,"Gd","Gd","Somerst","FV","TwnhsE","Lvl",0,1,4,2010,3
149500,237,108,54,2,2,1,7,"Gd","Gd","Somerst","FV","Twnhs","Lvl",0,1,2,2010,3
152000,237,118,54,2,2,1,6,"Gd","Gd","Somerst","FV","Twnhs","Lvl",0,1,5,2010,3
177000,280,140,75,2,2,1,6,"Gd","Gd","Somerst","FV","TwnhsE","Lvl",0,1,5,2010,3
147110,226,97,118,2,2,1,7,"Gd","Gd","Somerst","FV","TwnhsE","Lvl",0,1,6,2010,3
267916,1195,129,151,3,1,1,8,"Gd","Gd","Somerst","FV","1Fam","Lvl",1,1,4,2010,2
254000,689,172,86,2,3,1,8,"Gd","Gd","Somerst","FV","1Fam","Lvl",1,1,4,2010,3
230000,743,140,140,2,3,1,7,"Gd","Gd","Somerst","FV","1Fam","Lvl",1,1,4,2010,2
218500,969,172,172,2,4,1,6,"TA","TA","NWAmes","RL","1Fam","Lvl",0,1,5,2010,2
243500,1001,237,118,2,4,1,6,"TA","Gd","NWAmes","RL","1Fam","Lvl",1,1,3,2010,3
212500,1755,172,118,2,3,1,6,"TA","TA","NWAmes","RL","1Fam","Lvl",1,1,4,2010,3
171000,893,151,65,2,4,1,6,"TA","TA","NWAmes","RL","1Fam","Lvl",0,1,6,2010,3
142250,893,118,118,2,3,1,5,"TA","TA","NAmes","RL","1Fam","Lvl",0,1,4,2010,2
159000,915,108,108,2,3,1,5,"TA","TA","NAmes","RL","1Fam","Lvl",0,1,4,2010,1
178900,904,140,140,2,3,1,5,"TA","Gd","NAmes","RL","1Fam","Lvl",0,1,4,2010,2
136300,990,161,54,2,3,1,6,"TA","TA","NAmes","RL","1Fam","Lvl",0,1,5,2010,2
84900,1227,161,161,0,6,2,5,"TA","TA","NAmes","RL","Duplex","Lvl",0,1,1,2010,2
197600,904,226,108,2,3,1,5,"Gd","TA","NAmes","RL","1Fam","Lvl",1,1,3,2010,2
172500,1615,140,75,2,3,1,6,"TA","TA","NAmes","RL","1Fam","Lvl",1,1,1,2010,2
178000,1055,108,97,1,2,1,6,"TA","Gd","NAmes","RL","1Fam","Lvl",1,1,1,2010,1
135000,764,151,151,2,4,2,5,"TA","TA","NAmes","RL","Duplex","Lvl",0,1,3,2010,2
214000,764,140,140,2,3,1,7,"Gd","Gd","NAmes","RL","1Fam","Lvl",0,1,2,2010,2
136000,743,108,108,1,3,1,5,"TA","TA","NAmes","RL","1Fam","Lvl",0,1,5,2010,1
108538,1001,108,108,1,3,1,5,"TA","TA","NAmes","RL","1Fam","Lvl",0,1,5,2010,1
159500,936,151,118,2,3,1,6,"TA","TA","NAmes","RL","1Fam","Lvl",1,1,6,2010,2
108000,775,129,75,4,3,1,4,"TA","TA","NAmes","RL","1Fam","Lvl",0,1,2,2010,1
135000,1012,97,75,1,2,1,5,"TA","Fa","NAmes","RL","1Fam","Lvl",0,1,5,2010,1
122500,1012,86,86,1,3,1,5,"TA","TA","NAmes","RL","1Fam","Lvl",0,1,6,2010,1
119000,1259,97,97,1,2,1,5,"TA","TA","NAmes","RL","2fmCon","Lvl",0,1,4,2010,1
105000,732,97,54,2,2,1,4,"TA","TA","NAmes","RL","1Fam","Lvl",0,1,4,2010,1
132000,753,118,75,1,3,1,6,"TA","TA","NAmes","RL","1Fam","Lvl",0,1,5,2010,1
148000,710,108,97,2,3,1,5,"TA","TA","NAmes","RL","1Fam","Lvl",0,1,6,2010,2
192000,904,129,129,2,2,1,6,"TA","TA","NAmes","RL","1Fam","Lvl",1,1,5,2010,1
80400,441,172,65,1,3,1,4,"TA","TA","OldTown","RM","1Fam","Lvl",1,1,1,2010,1
109500,420,86,86,0,2,1,5,"TA","TA","OldTown","RM","1Fam","Lvl",1,1,5,2010,1
143000,538,129,129,2,3,1,5,"TA","Gd","OldTown","RM","1Fam","Bnk",0,1,6,2010,1
119000,646,118,75,1,3,1,6,"TA","Fa","OldTown","RM","1Fam","Lvl",0,1,1,2010,1
129000,1098,151,97,1,3,1,5,"TA","Gd","OldTown","RM","1Fam","Lvl",1,1,6,2010,1
1e+05,764,118,97,1,3,1,5,"TA","TA","OldTown","RM","1Fam","Lvl",0,1,3,2010,1
12789,893,75,65,2,2,1,2,"TA","TA","OldTown","RM","1Fam","Lvl",1,0,6,2010,1
150000,893,140,86,1,3,1,8,"Gd","Gd","OldTown","RM","1Fam","Lvl",0,0,4,2010,2
240000,840,215,32,2,3,1,8,"Gd","Gd","OldTown","RM","1Fam","Lvl",0,1,4,2010,3
76500,840,215,75,0,4,2,5,"TA","Fa","OldTown","RM","2fmCon","Lvl",0,0,6,2010,2
140750,980,140,65,2,2,1,6,"TA","TA","OldTown","RM","1Fam","Lvl",0,1,6,2010,2
128500,538,151,97,1,3,1,5,"TA","TA","BrkSide","RM","1Fam","Lvl",0,1,3,2010,2
209500,721,194,108,1,3,1,7,"TA","Gd","BrkSide","RL","1Fam","Bnk",1,0,5,2010,2
87000,463,75,75,0,2,1,4,"TA","Gd","BrkSide","RM","1Fam","Lvl",0,0,4,2010,1
134000,560,108,54,1,2,1,6,"TA","TA","BrkSide","RM","1Fam","Lvl",0,1,4,2010,1
128000,560,108,54,2,3,1,6,"TA","TA","BrkSide","RM","1Fam","Lvl",1,1,3,2010,2
132000,592,140,75,1,3,1,5,"TA","Gd","BrkSide","RM","1Fam","Lvl",1,1,3,2010,2
139900,560,129,75,1,3,1,6,"TA","TA","BrkSide","RM","1Fam","Lvl",0,1,3,2010,2
123900,581,97,54,2,2,1,5,"TA","TA","BrkSide","RM","1Fam","Lvl",0,1,5,2010,1
138400,581,140,86,2,4,1,5,"TA","TA","BrkSide","RM","1Fam","Lvl",1,1,3,2010,2
109500,570,97,75,1,2,1,6,"TA","TA","OldTown","RM","1Fam","Lvl",1,1,3,2010,1
149500,753,183,86,2,4,1,4,"TA","TA","OldTown","RM","1Fam","Lvl",1,1,6,2010,2
159900,1195,140,75,0,3,1,6,"Gd","Gd","OldTown","RM","1Fam","Lvl",0,1,5,2010,2
122000,280,118,65,1,3,1,6,"TA","TA","OldTown","RM","1Fam","Lvl",0,1,2,2010,1
173000,1421,151,129,1,3,1,5,"TA","TA","ClearCr","RL","1Fam","Lvl",1,1,5,2010,2
107500,990,118,65,1,3,1,5,"TA","TA","ClearCr","TA","1Fam","Lvl",0,0,1,2010,2
1e+05,915,129,108,0,3,1,5,"Fa","TA","SWISU","RL","2fmCon","Lvl",0,0,2,2010,1
95000,560,86,54,1,3,1,6,"TA","TA","SWISU","RL","1Fam","Bnk",0,0,3,2010,1
93369,603,172,65,0,4,1,4,"TA","TA","SWISU","C (all)","1Fam","Lvl",0,0,3,2010,2
114900,560,151,75,2,2,2,5,"TA","TA","SWISU","RH","2fmCon","Lvl",1,1,6,2010,2
136000,1001,172,172,0,4,2,4,"Fa","TA","Sawyer","RL","Duplex","Lvl",0,0,5,2010,2
137900,721,86,75,1,3,1,5,"TA","Gd","Sawyer","RL","1Fam","Lvl",0,1,6,2010,1
137250,732,75,75,1,2,1,5,"TA","TA","Sawyer","RL","1Fam","Lvl",0,1,5,2010,1
160250,689,129,97,2,3,1,5,"TA","TA","Sawyer","RL","Duplex","Lvl",1,1,5,2010,1
163000,1044,129,65,2,4,1,5,"TA","TA","Sawyer","RL","1Fam","Lvl",1,1,3,2010,2
270000,1862,140,129,2,1,1,7,"Gd","TA","ClearCr","RL","1Fam","Low",1,1,4,2010,2
85000,861,75,65,2,2,1,4,"TA","TA","Sawyer","RL","1Fam","Lvl",0,0,6,2010,1
230000,1582,183,108,2,4,1,6,"TA","Gd","ClearCr","RL","1Fam","Low",1,1,5,2010,3
124000,1733,151,86,1,4,1,3,"TA","Fa","Edwards","RL","1Fam","Lvl",1,1,6,2010,2
144500,1066,97,65,1,3,1,6,"TA","Gd","Edwards","RL","1Fam","Lvl",1,1,6,2010,1
127000,872,140,75,1,3,1,4,"TA","TA","Edwards","RL","1Fam","Bnk",1,1,6,2010,1
128000,883,108,108,1,3,1,5,"TA","TA","Edwards","RL","1Fam","Lvl",0,1,6,2010,1
308030,1625,140,140,2,1,1,7,"Gd","Gd","Edwards","RL","1Fam","Lvl",1,1,1,2010,1
114000,1044,118,118,2,3,1,5,"TA","TA","Edwards","RL","1Fam","Lvl",0,1,6,2010,2
270000,1109,129,129,2,1,1,7,"Gd","Gd","SawyerW","RL","1Fam","Low",1,1,6,2010,2
218000,1152,172,86,4,3,1,6,"Gd","Gd","SawyerW","RL","1Fam","Lvl",1,1,5,2010,3
187000,689,118,129,2,2,1,7,"Gd","Gd","CollgCr","RL","1Fam","Lvl",0,1,3,2010,2
138500,1324,129,65,2,3,1,6,"TA","TA","SawyerW","RL","1Fam","Lvl",0,1,3,2010,2
159000,1033,86,86,2,2,1,5,"TA","TA","CollgCr","RL","1Fam","Lvl",0,1,7,2010,1
191000,872,161,86,2,3,1,7,"TA","TA","CollgCr","RL","1Fam","Lvl",1,1,4,2010,3
150000,1421,97,54,1,3,1,5,"Gd","TA","CollgCr","RL","1Fam","Lvl",0,1,6,2010,2
