SalePrice,LotArea,LivArea,BsmtArea,GarageCars,Bedroom,Kitchen,OverallQual,ExterQual,KitchenQual,Neighborhood,ZoneClass,BldgType,LandContour,Fireplace,CentralAir,MoSold,YrSold,Latitude,Longitude,TotalBath
126000,733,80,80,2.0,2,1,6,TA,TA,SWISU,RL,1Fam,Lvl,1,1,3,2010,42.0185644897959,-93.6516191836735,1
139500,393,97,97,1.0,2,1,5,Gd,Gd,Edwards,RL,TwnhsE,Lvl,0,1,2,2009,42.0248553159304,-93.6636709934176,2
124900,563,93,78,1.0,2,1,5,Gd,Gd,IDOTRR,C (all),1Fam,Lvl,0,1,11,2007,42.021547615297,-93.6140680999251,1
114000,757,97,38,1.0,2,1,4,Gd,TA,OldTown,RL,1Fam,Lvl,0,1,5,2009,42.0373914693878,-93.6122069591837,1
227000,780,155,75,2.0,3,1,8,Gd,Gd,NWAmes,RL,1Fam,Lvl,0,1,11,2009,42.0445537606728,-93.6318183162073,3
198500,678,179,0,2.0,4,1,7,Gd,Gd,Edwards,RL,1Fam,Lvl,1,1,7,2009,42.018988,-93.6715721070941,3
93000,557,87,87,2.0,2,1,4,Fa,TA,OldTown,RM,2fmCon,Bnk,0,0,2,2009,,,1
187687,345,116,106,2.0,2,1,7,Gd,Gd,Blmngtn,RL,1Fam,Lvl,1,1,3,2008,42.063308,-93.6423058385336,2
137500,1152,83,80,2.0,3,1,5,TA,TA,Mitchel,RL,1Fam,Lvl,0,1,4,2008,41.9864957359567,-93.6036188257733,1
140000,341,100,51,2.0,2,1,6,TA,Gd,Edwards,RM,TwnhsE,Lvl,0,1,5,2007,42.0189636814745,-93.6700665426375,1
219500,580,125,125,2.0,2,1,8,Gd,Gd,NridgHt,RL,TwnhsE,Lvl,1,1,2,2008,,,2
136000,973,118,58,2.0,3,1,5,TA,TA,Mitchel,RL,1Fam,Lvl,0,1,3,2010,41.9864998783888,-93.6021399186032,2
80000,688,80,80,2.0,2,1,4,TA,TA,OldTown,RM,1Fam,Lvl,0,1,11,2009,42.0321673265306,-93.6087965510204,1
159000,883,130,130,2.0,3,1,6,TA,TA,NAmes,RL,1Fam,Lvl,1,1,7,2009,42.0469016139666,-93.6157210302656,2
214000,849,143,143,2.0,3,1,7,Gd,Gd,CollgCr,RL,1Fam,Lvl,0,1,12,2008,42.0159080909091,-93.6876522121212,2
163000,788,156,82,2.0,3,1,6,Gd,Gd,SawyerW,RL,1Fam,Lvl,0,1,10,2008,42.0358694139464,-93.6892068741987,3
203000,819,118,118,2.0,3,1,7,Gd,Gd,CollgCr,RL,1Fam,Lvl,0,1,1,2007,42.0248197529759,-93.6891113078905,2
67000,766,80,80,0.0,2,1,3,TA,TA,Edwards,RL,1Fam,Lvl,0,0,9,2008,42.0220824776502,-93.6569268411398,1
205000,985,150,150,2.0,3,1,6,TA,Gd,NWAmes,RL,1Fam,Lvl,1,1,2,2010,42.0433164633704,-93.6372791957709,2
131250,716,101,36,1.0,2,1,6,TA,TA,Mitchel,RL,1Fam,Lvl,0,1,8,2009,41.9875277373737,-93.6061805959596,1
181000,691,138,136,2.0,3,1,7,Gd,Gd,SawyerW,RL,1Fam,Lvl,0,1,6,2007,42.037170835113,-93.6912120472251,2
115000,557,73,73,1.0,2,1,5,TA,TA,OldTown,RM,1Fam,Lvl,0,1,4,2008,42.0335183265306,-93.6088355510204,1
98000,137,101,51,0.0,3,1,6,TA,TA,MeadowV,RM,Twnhs,Lvl,0,1,3,2008,41.9921555107073,-93.6030863886634,3
265979,1087,245,115,4.0,4,1,7,Gd,Gd,OldTown,RM,1Fam,Lvl,1,0,5,2009,42.0293581428571,-93.6122885714286,2
