"SalePrice","LotArea","LivArea","BsmtArea","GarageCars","Bedroom","FullBath","HalfBath","Kitchen","OverallQual","ExterQual","KitchenQual","Neighborhood","ZoneClass","BldgType","LandContour","Fireplace","CentralAir","MoSold","YrSold"
105000,1080,83,82,1,2,1,0,1,5,"TA","TA","NAmes","RH","1Fam","Lvl","0","1","6","2010"
172000,1325,123,123,1,3,1,1,1,6,"TA","Gd","NAmes","RL","1Fam","Lvl","0","1","6","2010"
189900,1285,151,86,2,3,2,1,1,5,"TA","TA","Gilbert","RL","1Fam","Lvl","1","1","3","2010"
195500,927,149,86,2,3,2,1,1,6,"TA","Gd","Gilbert","RL","1Fam","Lvl","1","1","6","2010"
191500,465,119,119,2,2,2,0,1,8,"Gd","Gd","StoneBr","RL","TwnhsE","HLS","0","1","1","2010"
175900,929,154,71,2,3,2,1,1,6,"TA","TA","Gilbert","RL","1Fam","Lvl","1","1","4","2010"
185000,741,110,109,2,3,2,0,1,6,"TA","TA","Gilbert","RL","1Fam","Lvl","0","1","3","2010"
180400,781,136,73,2,3,2,1,1,6,"TA","TA","Gilbert","RL","1Fam","Lvl","1","1","5","2010"
171500,945,125,121,2,2,1,1,1,7,"TA","Gd","Gilbert","RL","1Fam","Lvl","1","1","2","2010"
126000,780,82,82,2,2,1,0,1,4,"TA","TA","NAmes","RL","1Fam","Lvl","0","1","4","2010"
184000,544,124,131,2,2,2,0,1,7,"Gd","Gd","NAmes","RH","TwnhsE","Lvl","1","1","6","2010"
96000,156,92,45,1,2,1,1,1,6,"TA","TA","BrDale","RM","Twnhs","Lvl","0","1","2","2010"
105500,156,101,49,1,3,1,1,1,5,"TA","TA","BrDale","RM","Twnhs","Lvl","0","1","3","2010"
149900,212,135,79,2,3,2,1,1,6,"TA","Gd","NPkVill","RL","Twnhs","Lvl","1","1","6","2010"
120000,212,78,78,1,2,1,0,1,7,"TA","TA","NPkVill","RL","Twnhs","Lvl","0","1","6","2010"
376162,1195,217,148,3,3,2,1,1,9,"Ex","Ex","NridgHt","RL","1Fam","Lvl","1","1","1","2010"
290941,1197,143,143,3,3,2,0,1,8,"Gd","Gd","NridgHt","RL","1Fam","Lvl","0","1","6","2010"
275000,1070,158,158,3,3,2,0,1,9,"Gd","Ex","NridgHt","RL","1Fam","Lvl","1","1","6","2010"
259000,1312,169,169,3,3,2,0,1,8,"Gd","Ex","NridgHt","RL","1Fam","Lvl","1","1","2","2010"
5e+05,1329,250,264,3,3,2,1,1,9,"Ex","Ex","NridgHt","RL","1Fam","HLS","1","1","6","2010"
320000,1268,209,155,3,3,2,1,1,8,"Gd","Gd","NridgHt","RL","1Fam","Lvl","1","1","6","2010"
205000,663,127,127,2,2,2,0,1,8,"Gd","Gd","NridgHt","RL","TwnhsE","Lvl","1","1","4","2010"
199500,1718,123,123,2,3,2,0,1,6,"Gd","Gd","Gilbert","RL","1Fam","Lvl","0","1","1","2010"
160000,298,106,106,2,2,2,0,1,7,"Gd","Gd","Blmngtn","RL","TwnhsE","Lvl","0","1","1","2010"
184500,1236,128,36,2,3,2,1,1,7,"Gd","Gd","Gilbert","RL","1Fam","Lvl","1","1","6","2010"
185088,797,161,79,2,3,2,1,1,7,"Gd","Gd","Gilbert","RL","1Fam","Lvl","1","1","4","2010"
355000,1620,230,151,3,4,2,1,1,8,"Gd","Gd","NoRidge","RL","1Fam","Lvl","1","1","1","2010"
221500,835,148,148,3,2,2,0,1,8,"Gd","Gd","Somerst","RL","1Fam","Lvl","1","1","5","2010"
204500,856,113,113,2,2,2,0,1,7,"Gd","Gd","Somerst","FV","1Fam","Lvl","0","1","4","2010"
271500,970,136,136,2,2,2,0,1,6,"Gd","Gd","Somerst","FV","1Fam","Lvl","1","1","5","2010"
181000,1107,154,77,2,3,2,1,1,7,"Gd","Gd","SawyerW","RL","1Fam","Lvl","0","1","4","2010"
67500,910,94,76,1,2,1,0,1,5,"TA","TA","SawyerW","RH","1Fam","Lvl","0","0","4","2010"
169000,1432,139,112,2,3,2,0,1,6,"TA","TA","Sawyer","RL","1Fam","Lvl","1","1","4","2010"
362500,1221,218,114,3,4,2,1,1,8,"Gd","Gd","NoRidge","RL","1Fam","Lvl","1","1","6","2010"
285000,1034,207,129,3,4,2,1,1,8,"Gd","Gd","NoRidge","RL","1Fam","Lvl","1","1","6","2010"
260000,449,138,138,2,2,2,0,1,7,"Gd","Gd","Somerst","FV","TwnhsE","Lvl","1","1","3","2010"
190000,327,156,78,2,2,2,1,1,7,"Gd","Gd","Somerst","FV","TwnhsE","Lvl","0","1","1","2010"
155000,299,111,56,2,2,2,1,1,7,"Gd","Gd","Somerst","FV","TwnhsE","Lvl","0","1","4","2010"
149500,236,111,56,2,2,2,1,1,7,"Gd","Gd","Somerst","FV","Twnhs","Lvl","0","1","2","2010"
152000,236,115,56,2,2,2,1,1,6,"Gd","Gd","Somerst","FV","Twnhs","Lvl","0","1","5","2010"
177000,277,140,70,2,2,2,1,1,6,"Gd","Gd","Somerst","FV","TwnhsE","Lvl","0","1","5","2010"
147110,223,100,49,2,2,2,1,1,7,"Gd","Gd","Somerst","FV","TwnhsE","Lvl","0","1","6","2010"
