"SalePrice","LotArea","LivArea","BsmtArea","GarageCars","Bedroom","FullBath","HalfBath","Kitchen","OverallQual","ExterQual","KitchenQual","Neighborhood","ZoneClass","BldgType","LandContour","Fireplace","CentralAir","MoSold","YrSold"
105000,1076,86,86,1,2,1,0,1,5,"TA","TA","NAmes","RH","1Fam","Lvl","0","0","6","2010"
172000,1324,118,118,1,3,1,1,1,6,"TA","Gd","NAmes","RL","1Fam","Lvl","0","0","6","2010"
189900,1281,151,86,2,3,2,1,1,5,"TA","TA","Gilbert","RL","1Fam","Lvl","1","0","3","2010"
195500,926,151,86,2,3,2,1,1,6,"TA","Gd","Gilbert","RL","1Fam","Lvl","1","0","6","2010"
191500,463,118,118,2,2,2,0,1,8,"Gd","Gd","StoneBr","RL","TwnhsE","HLS","0","0","1","2010"
175900,926,151,75,2,3,2,1,1,6,"TA","TA","Gilbert","RL","1Fam","Lvl","1","0","4","2010"
185000,743,108,108,2,3,2,0,1,6,"TA","TA","Gilbert","RL","1Fam","Lvl","0","0","3","2010"
180400,786,140,75,2,3,2,1,1,6,"TA","TA","Gilbert","RL","1Fam","Lvl","1","0","5","2010"
171500,947,129,118,2,2,1,1,1,7,"TA","Gd","Gilbert","RL","1Fam","Lvl","1","0","2","2010"
126000,775,86,86,2,2,1,0,1,4,"TA","TA","NAmes","RL","1Fam","Lvl","0","0","4","2010"
184000,549,129,129,2,2,2,0,1,7,"Gd","Gd","NAmes","RH","TwnhsE","Lvl","1","0","6","2010"
96000,151,97,43,1,2,1,1,1,6,"TA","TA","BrDale","RM","Twnhs","Lvl","0","0","2","2010"
105500,151,97,54,1,3,1,1,1,5,"TA","TA","BrDale","RM","Twnhs","Lvl","0","0","3","2010"
149900,215,140,75,2,3,2,1,1,6,"TA","Gd","NPkVill","RL","Twnhs","Lvl","1","0","6","2010"
120000,215,75,75,1,2,1,0,1,7,"TA","TA","NPkVill","RL","Twnhs","Lvl","0","0","6","2010"
376162,1195,215,151,3,3,2,1,1,9,"Ex","Ex","NridgHt","RL","1Fam","Lvl","1","0","1","2010"
290941,1195,140,140,3,3,2,0,1,8,"Gd","Gd","NridgHt","RL","1Fam","Lvl","0","0","6","2010"
275000,1066,161,161,3,3,2,0,1,9,"Gd","Ex","NridgHt","RL","1Fam","Lvl","1","0","6","2010"
259000,1313,172,172,3,3,2,0,1,8,"Gd","Ex","NridgHt","RL","1Fam","Lvl","1","0","2","2010"
5e+05,1324,248,NA,3,3,2,1,1,9,"Ex","Ex","NridgHt","RL","1Fam","HLS","1","0","6","2010"
320000,1270,205,151,3,3,2,1,1,8,"Gd","Gd","NridgHt","RL","1Fam","Lvl","1","0","6","2010"
205000,667,129,129,2,2,2,0,1,8,"Gd","Gd","NridgHt","RL","TwnhsE","Lvl","1","0","4","2010"
199500,1722,118,118,2,3,2,0,1,6,"Gd","Gd","Gilbert","RL","1Fam","Lvl","0","0","1","2010"
160000,301,108,108,2,2,2,0,1,7,"Gd","Gd","Blmngtn","RL","TwnhsE","Lvl","0","0","1","2010"
184500,1238,129,32,2,3,2,1,1,7,"Gd","Gd","Gilbert","RL","1Fam","Lvl","1","0","6","2010"
185088,797,161,NA,2,3,2,1,1,7,"Gd","Gd","Gilbert","RL","1Fam","Lvl","1","0","4","2010"
355000,1625,226,NA,3,4,2,1,1,8,"Gd","Gd","NoRidge","RL","1Fam","Lvl","1","0","1","2010"
221500,840,151,151,NA,2,2,0,1,8,"Gd","Gd","Somerst","RL","1Fam","Lvl","1","0","5","2010"
204500,861,108,108,2,2,2,0,1,7,"Gd","Gd","Somerst","FV","1Fam","Lvl","0","0","4","2010"
271500,969,140,140,2,2,2,0,1,6,"Gd","Gd","Somerst","FV","1Fam","Lvl","1","0","5","2010"
181000,1109,151,75,2,3,2,1,1,7,"Gd","Gd","SawyerW","RL","1Fam","Lvl","0","0","4","2010"
67500,915,97,75,1,2,1,0,1,5,"TA","TA","SawyerW","RH","1Fam","Lvl","0","0","4","2010"
169000,1432,140,108,2,3,2,0,1,6,"TA","TA","Sawyer","RL","1Fam","Lvl","1","0","4","2010"
362500,1216,215,118,3,4,2,1,1,8,"Gd","Gd","NoRidge","RL","1Fam","Lvl","1","0","6","2010"
285000,1033,205,129,3,4,2,1,1,8,"Gd","Gd","NoRidge","RL","1Fam","Lvl","1","0","6","2010"
260000,452,140,140,2,2,2,0,1,7,"Gd","Gd","Somerst","FV","TwnhsE","Lvl","1","0","3","2010"
190000,323,151,75,2,2,2,1,1,7,"Gd","Gd","Somerst","FV","TwnhsE","Lvl","0","0","1","2010"
155000,301,108,54,2,2,2,1,1,7,"Gd","Gd","Somerst","FV","TwnhsE","Lvl","0","0","4","2010"
149500,237,108,54,2,2,2,1,1,7,"Gd","Gd","Somerst","FV","Twnhs","Lvl","0","0","2","2010"
152000,237,118,54,2,2,2,1,1,6,"Gd","Gd","Somerst","FV","Twnhs","Lvl","0","0","5","2010"
177000,280,140,75,2,2,2,1,1,6,"Gd","Gd","Somerst","FV","TwnhsE","Lvl","0","0","5","2010"
147110,226,97,NA,2,2,2,1,1,7,"Gd","Gd","Somerst","FV","TwnhsE","Lvl","0","0","6","2010"
267916,1195,129,151,3,1,1,1,1,8,"Gd","Gd","Somerst","FV","1Fam","Lvl","1","0","4","2010"
254000,689,172,86,2,3,2,1,1,8,"Gd","Gd","Somerst","FV","1Fam","Lvl","1","0","4","2010"
230000,743,140,140,2,3,2,0,1,7,"Gd","Gd","Somerst","FV","1Fam","Lvl","1","0","4","2010"
218500,969,172,172,2,4,2,0,1,6,"TA","TA","NWAmes","RL","1Fam","Lvl","0","0","5","2010"
243500,1001,237,118,2,4,2,1,1,6,"TA","Gd","NWAmes","RL","1Fam","Lvl","1","0","3","2010"
212500,1755,172,118,2,3,3,0,1,6,"TA","TA","NWAmes","RL","1Fam","Lvl","1","0","4","2010"
171000,893,151,65,2,4,1,2,1,6,"TA","TA","NWAmes","RL","1Fam","Lvl","0","0","6","2010"
142250,893,118,118,2,3,1,1,1,5,"TA","TA","NAmes","RL","1Fam","Lvl","0","0","4","2010"
159000,915,108,108,2,3,1,0,1,5,"TA","TA","NAmes","RL","1Fam","Lvl","0","0","4","2010"
178900,904,140,140,2,3,2,0,1,5,"TA","Gd","NAmes","RL","1Fam","Lvl","0","0","4","2010"
136300,990,161,54,2,3,2,0,1,6,"TA","TA","NAmes","RL","1Fam","Lvl","0","0","5","2010"
84900,1227,161,161,0,6,2,0,2,5,"TA","TA","NAmes","RL","Duplex","Lvl","0","0","1","2010"
197600,904,226,108,2,3,2,0,1,5,"Gd","TA","NAmes","RL","1Fam","Lvl","1","0","3","2010"
172500,1615,140,75,2,3,2,0,1,6,"TA","TA","NAmes","RL","1Fam","Lvl","1","0","1","2010"
178000,1055,108,97,1,2,1,0,1,6,"TA","Gd","NAmes","RL","1Fam","Lvl","1","0","1","2010"
135000,764,151,151,2,4,2,0,2,5,"TA","TA","NAmes","RL","Duplex","Lvl","0","0","3","2010"
214000,764,140,140,2,3,2,0,1,7,"Gd","Gd","NAmes","RL","1Fam","Lvl","0","0","2","2010"
136000,743,108,108,1,3,1,0,1,5,"TA","TA","NAmes","RL","1Fam","Lvl","0","0","5","2010"
108538,1001,108,108,1,3,1,0,1,5,"TA","TA","NAmes","RL","1Fam","Lvl","0","0","5","2010"
159500,936,151,118,2,3,1,1,1,6,"TA","TA","NAmes","RL","1Fam","Lvl","1","0","6","2010"
108000,775,129,75,NA,3,1,0,1,4,"TA","TA","NAmes","RL","1Fam","Lvl","0","0","2","2010"
135000,1012,97,75,1,2,1,0,1,5,"TA","Fa","NAmes","RL","1Fam","Lvl","0","0","5","2010"
122500,1012,86,86,1,3,1,0,1,5,"TA","TA","NAmes","RL","1Fam","Lvl","0","0","6","2010"
119000,1259,97,97,1,2,1,0,1,5,"TA","TA","NAmes","RL","2fmCon","Lvl","0","0","4","2010"
105000,732,97,54,2,2,1,0,1,4,"TA","TA","NAmes","RL","1Fam","Lvl","0","0","4","2010"
132000,753,118,75,1,3,1,0,1,6,"TA","TA","NAmes","RL","1Fam","Lvl","0","0","5","2010"
148000,710,108,NA,2,3,1,1,1,5,"TA","TA","NAmes","RL","1Fam","Lvl","0","0","6","2010"
192000,904,129,129,2,2,1,0,1,6,"TA","TA","NAmes","RL","1Fam","Lvl","1","0","5","2010"
80400,441,172,65,1,3,1,0,1,4,"TA","TA","OldTown","RM","1Fam","Lvl","1","0","1","2010"
109500,420,86,86,0,2,1,0,1,5,"TA","TA","OldTown","RM","1Fam","Lvl","1","0","5","2010"
